t,truth0.0025,injected0.0025,truth0.005,injected0.005,truth0.01,injected0.01,truth0.02,injected0.02,truth0.05,injected0.05,truth0.1,injected0.1,truth0.15,injected0.15,truth0.2,injected0.2
179,3.03069,5.947630074695838,3.03069,5.947630074695838,3.03069,5.947630074695838,3.03069,5.947630074695838,3.03069,5.947630074695838,3.03069,5.947630074695838,3.03069,5.947630074695838,3.03069,5.947630074695838
180,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522,2.94522
181,2.43238,nan,2.43238,nan,2.43238,nan,2.43238,nan,2.43238,nan,2.43238,nan,2.43238,nan,2.43238,nan
182,1.71441,nan,1.71441,nan,1.71441,nan,1.71441,nan,1.71441,nan,1.71441,nan,1.71441,nan,1.71441,nan
183,1.6802199999999998,nan,1.6802199999999998,nan,1.6802199999999998,nan,1.6802199999999998,nan,1.6802199999999998,nan,1.6802199999999998,1.6802199999999998,1.6802199999999998,1.6802199999999998,1.6802199999999998,1.6802199999999998
184,1.13319,nan,1.13319,nan,1.13319,nan,1.13319,nan,1.13319,nan,1.13319,4.198406400575512,1.13319,4.198406400575512,1.13319,4.198406400575512
185,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,1.04772,1.04772,1.04772,1.04772,1.04772
186,0.928055,nan,0.928055,nan,0.928055,nan,0.928055,nan,0.928055,nan,0.928055,nan,0.928055,nan,0.928055,nan
187,0.158798,nan,0.158798,nan,0.158798,nan,0.158798,nan,0.158798,nan,0.158798,nan,0.158798,nan,0.158798,nan
188,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,0.07332549999999999
189,0.449407,nan,0.449407,nan,0.449407,nan,0.449407,nan,0.449407,nan,0.449407,nan,0.449407,nan,0.449407,3.3610140611263715
190,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,0.859677
191,0.72292,nan,0.72292,nan,0.72292,nan,0.72292,nan,0.72292,nan,0.72292,nan,0.72292,0.72292,0.72292,0.72292
192,-0.04633659999999995,nan,-0.04633659999999995,nan,-0.04633659999999995,nan,-0.04633659999999995,nan,-0.04633659999999995,nan,-0.04633659999999995,nan,-0.04633659999999995,-3.049022305408302,-0.04633659999999995,-3.049022305408302
193,0.0220418,nan,0.0220418,nan,0.0220418,nan,0.0220418,nan,0.0220418,nan,0.0220418,nan,0.0220418,0.0220418,0.0220418,0.0220418
194,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997
195,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,-2.9352174415950723,0.07332549999999999,-2.9352174415950723,0.07332549999999999,-2.9352174415950723,0.07332549999999999,-2.9352174415950723,0.07332549999999999,-2.9352174415950723
196,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997,0.17589299999999997
197,0.551974,nan,0.551974,nan,0.551974,nan,0.551974,nan,0.551974,nan,0.551974,0.551974,0.551974,-2.54408461701496,0.551974,-2.54408461701496
198,0.363934,nan,0.363934,nan,0.363934,nan,0.363934,nan,0.363934,nan,0.363934,-2.4290071179902615,0.363934,-2.4290071179902615,0.363934,-2.4290071179902615
199,0.141704,nan,0.141704,nan,0.141704,nan,0.141704,nan,0.141704,nan,0.141704,0.141704,0.141704,0.141704,0.141704,0.141704
