t,truth5,injected5,truth10,injected10,truth20,injected20,truth40,injected40,truth60,injected60,truth80,injected80,truth100,injected100,truth200,injected200
265,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,10.723804695209292
266,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,9.8
267,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,9.8
268,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,8.776195304790708
269,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,10.723804695209292
270,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,9.8
271,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,
272,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,9.8
273,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,8.776195304790708
274,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.676195304790712
275,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,9.6
276,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
277,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
278,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
279,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,9.6
280,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,10.923804695209292
281,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,9.8
282,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,9.8
283,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.476195304790709
284,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,10.623804695209287
285,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,9.7
286,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,9.7
287,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.676195304790712
288,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,10.923804695209292
289,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.476195304790709
290,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,11.22380469520929
291,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,9.9
292,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,8.576195304790708
293,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.676195304790712
294,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,11.22380469520929
295,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.27619530479071
296,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,8.576195304790712
297,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,11.12380469520929
298,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,9.8
299,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.476195304790709
300,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,10.923804695209292
301,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,11.723804695209285
302,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,11.523804695209291
303,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,10.4
304,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,8.176195304790712
305,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,12.123804695209289
306,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,8.77619530479071
307,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,11.123804695209287
308,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,11.82380469520929
309,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,8.57619530479071
310,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,8.476195304790714
311,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,11.423804695209286
312,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,7.876195304790711
313,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,10.923804695209292
314,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,11.723804695209285
315,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,11.523804695209291
316,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,7.5761953047907085
317,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,11.32380469520929
318,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,12.223804695209289
319,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,11.823804695209287
320,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,9.076195304790714
321,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,8.47619530479071
322,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,12.523804695209288
323,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,7.476195304790714
324,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,13.52380469520929
325,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,7.67619530479071
326,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,8.976195304790712
327,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,8.876195304790713
328,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,7.576195304790712
329,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,11.823804695209288
330,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.27619530479071
331,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,13.323804695209288
332,12.0,,12.0,,12.0,,12.0,,12.0,,12.0,,12.0,,12.0,15.52380469520929
333,11.2,,11.2,,11.2,,11.2,,11.2,,11.2,,11.2,,11.2,8.87619530479071
334,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,12.223804695209292
335,11.2,,11.2,,11.2,,11.2,,11.2,,11.2,,11.2,,11.2,10.276195304790708
336,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,9.876195304790713
337,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,8.476195304790712
338,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,11.723804695209287
339,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,11.923804695209292
340,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,8.276195304790708
341,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,12.123804695209289
342,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,8.376195304790711
343,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,11.123804695209287
344,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,8.876195304790713
345,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,11.323804695209287
346,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,9.176195304790712
347,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,13.52380469520929
348,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,9.976195304790712
349,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,8.376195304790713
350,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,8.376195304790711
351,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,11.523804695209286
352,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,8.276195304790715
353,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,10.1
354,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,
355,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,
356,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,
357,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,
358,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,
359,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,
360,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
361,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
362,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,
363,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
364,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
365,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,
366,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,
367,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,
368,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,
369,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,
370,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,
371,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,
372,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,
373,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,
374,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,
375,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,
376,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
377,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
378,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
379,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
380,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
381,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
382,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
383,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
384,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
385,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,
386,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
387,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
388,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
389,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
390,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
391,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
392,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
393,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
394,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
395,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
396,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,
397,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
398,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
399,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,
400,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,
401,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,
402,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,
403,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,
404,8.9,,8.9,,8.9,,8.9,,8.9,,8.9,,8.9,,8.9,
405,8.9,,8.9,,8.9,,8.9,,8.9,,8.9,,8.9,,8.9,
406,8.8,,8.8,,8.8,,8.8,,8.8,,8.8,,8.8,,8.8,
407,8.7,,8.7,,8.7,,8.7,,8.7,,8.7,,8.7,,8.7,
408,8.8,,8.8,,8.8,,8.8,,8.8,,8.8,,8.8,,8.8,
409,8.7,,8.7,,8.7,,8.7,,8.7,,8.7,,8.7,,8.7,
410,8.6,,8.6,,8.6,,8.6,,8.6,,8.6,,8.6,,8.6,
411,8.5,,8.5,,8.5,,8.5,,8.5,,8.5,,8.5,,8.5,
412,8.6,,8.6,,8.6,,8.6,,8.6,,8.6,,8.6,,8.6,
413,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,
414,8.5,,8.5,,8.5,,8.5,,8.5,,8.5,,8.5,,8.5,
415,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,
416,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,
417,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,
418,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,
419,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,
420,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,
421,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,
422,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,
423,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,
