t,truth0.5,injected0.5,truth1,injected1,truth2,injected2,truth3,injected3,truth4,injected4,truth5,injected5,truth10,injected10,truth20,injected20
287,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,,5.982,
288,5.966,,5.966,,5.966,,5.966,,5.966,,5.966,,5.966,,5.966,
289,5.962,,5.962,,5.962,,5.962,,5.962,,5.962,,5.962,,5.962,
290,5.963,,5.963,,5.963,,5.963,,5.963,,5.963,,5.963,,5.963,
291,5.965,,5.965,,5.965,,5.965,,5.965,,5.965,,5.965,,5.965,
292,5.967,,5.967,,5.967,,5.967,,5.967,,5.967,,5.967,,5.967,
293,5.97,,5.97,,5.97,,5.97,,5.97,,5.97,,5.97,,5.97,
294,5.988,,5.988,,5.988,,5.988,,5.988,,5.988,,5.988,,5.988,
295,6.063,,6.063,,6.063,,6.063,,6.063,,6.063,,6.063,,6.063,
296,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,
297,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,
298,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,
299,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,
300,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,
301,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,
302,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,
303,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,
304,6.017,,6.017,,6.017,,6.017,,6.017,,6.017,,6.017,,6.017,
305,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,
306,6.017,,6.017,,6.017,,6.017,,6.017,,6.017,,6.017,,6.017,
307,6.019,,6.019,,6.019,,6.019,,6.019,,6.019,,6.019,,6.019,
308,6.019,,6.019,,6.019,,6.019,,6.019,,6.019,,6.019,,6.019,
309,6.02,,6.02,,6.02,,6.02,,6.02,,6.02,,6.02,,6.02,
310,6.022,,6.022,,6.022,,6.022,,6.022,,6.022,,6.022,,6.022,
311,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,
312,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,
313,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,
314,6.031,,6.031,,6.031,,6.031,,6.031,,6.031,,6.031,,6.031,
315,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,
316,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,
317,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,
318,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,
319,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,
320,6.049,,6.049,,6.049,,6.049,,6.049,,6.049,,6.049,,6.049,
321,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,
322,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,
323,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,
324,6.06,,6.06,,6.06,,6.06,,6.06,,6.06,,6.06,,6.06,
325,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,
326,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,
327,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,
328,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,
329,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,
330,6.071,,6.071,,6.071,,6.071,,6.071,,6.071,,6.071,,6.071,
331,6.072,,6.072,,6.072,,6.072,,6.072,,6.072,,6.072,,6.072,
332,6.074,,6.074,,6.074,,6.074,,6.074,,6.074,,6.074,,6.074,
333,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,
334,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,
335,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,
336,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,
337,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,
338,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,,6.076,
339,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,
340,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,
341,6.074,,6.074,,6.074,,6.074,,6.074,,6.074,,6.074,,6.074,
342,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,
343,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,
344,6.071,,6.071,,6.071,,6.071,,6.071,,6.071,,6.071,,6.071,
345,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,
346,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,
347,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,
348,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,
349,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,
350,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,
351,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,,6.062,
352,6.061,,6.061,,6.061,,6.061,,6.061,,6.061,,6.061,,6.061,
353,6.059,,6.059,,6.059,,6.059,,6.059,,6.059,,6.059,,6.059,
354,6.058,,6.058,,6.058,,6.058,,6.058,,6.058,,6.058,,6.058,
355,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,
356,6.055,,6.055,,6.055,,6.055,,6.055,,6.055,,6.055,,6.055,
357,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,
358,6.053,,6.053,,6.053,,6.053,,6.053,,6.053,,6.053,,6.053,
359,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,
360,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,
361,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,
362,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,
363,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,
364,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,
365,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,
366,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,
367,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,
368,6.032,,6.032,,6.032,,6.032,,6.032,,6.032,,6.032,,6.032,
369,6.031,,6.031,,6.031,,6.031,,6.031,,6.031,,6.031,,6.031,
370,6.03,,6.03,,6.03,,6.03,,6.03,,6.03,,6.03,,6.03,
371,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,
372,6.028,,6.028,,6.028,,6.028,,6.028,,6.028,,6.028,,6.028,
373,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,
374,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,
375,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,
376,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,
377,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,
378,6.022,,6.022,,6.022,,6.022,,6.022,,6.022,,6.022,,6.022,
379,6.021,,6.021,,6.021,,6.021,,6.021,,6.021,,6.021,,6.021,
380,6.021,,6.021,,6.021,,6.021,,6.021,,6.021,,6.021,,6.021,
381,6.02,,6.02,,6.02,,6.02,,6.02,,6.02,,6.02,,6.02,
382,6.019,,6.019,,6.019,,6.019,,6.019,,6.019,,6.019,,6.019,
383,6.018,,6.018,,6.018,,6.018,,6.018,,6.018,,6.018,,6.018,
384,6.017,,6.017,,6.017,,6.017,,6.017,,6.017,,6.017,,6.017,
385,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,
386,6.015,,6.015,,6.015,,6.015,,6.015,,6.015,,6.015,,6.015,
387,6.014,,6.014,,6.014,,6.014,,6.014,,6.014,,6.014,,6.014,
388,6.014,,6.014,,6.014,,6.014,,6.014,,6.014,,6.014,,6.014,
389,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,
390,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,
391,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,
392,6.011,,6.011,,6.011,,6.011,,6.011,,6.011,,6.011,,6.011,
393,6.01,,6.01,,6.01,,6.01,,6.01,,6.01,,6.01,,6.01,
394,6.01,,6.01,,6.01,,6.01,,6.01,,6.01,,6.01,,6.01,
395,6.009,,6.009,,6.009,,6.009,,6.009,,6.009,,6.009,,6.009,
396,6.008,,6.008,,6.008,,6.008,,6.008,,6.008,,6.008,,6.008,
397,6.008,,6.008,,6.008,,6.008,,6.008,,6.008,,6.008,,6.008,
398,6.007,,6.007,,6.007,,6.007,,6.007,,6.007,,6.007,,6.007,
399,6.007,,6.007,,6.007,,6.007,,6.007,,6.007,,6.007,,6.007,
